'label1','label2','in','on','belongs_in','belongs_on','is_a'
'object2','object38',0,,0,,
'object2','object39',0,1,,0,
'object2','object40',,,0,,
'object2','object41',,,,,
'object2','object42',,,,,0
'object2','object43',,,0,,
'object2','object44',,,0,,
'object2','object45',,1,,,
'object2','object46',0,,,,
'object2','object47',,1,0,0,
'object2','object48',,,0,0,0
'object2','object49',,1,,,
'object2','object50',1,,0,,
'object2','object51',1,,,,
'object2','object52',1,0,,0,0
'object2','object53',,,,,0
'object2','object54',,0,,,
'object2','object55',,0,,0,0
'object2','object56',0,,0,0,
'object2','object57',,,,0,
'object2','object58',,,,0,
'object2','object59',,,,,
'object2','object60',0,,,,1
'object2','object61',,,,,
'object2','object62',,,0,,
'object3','object0',0,,,,
'object3','object1',,,,,
'object3','object2',0,1,,0,
'object3','object3',0,,0,,
'object3','object4',0,,0,,
'object3','object5',,,,,
'object3','object6',0,1,0,,
'object3','object7',,,,,
'object3','object8',0,,0,,
'object3','object9',,,,,0
'object3','object10',0,,,0,
'object3','object11',0,,,,
'object3','object12',,1,,,
'object3','object13',,,,,
'object3','object14',,,0,0,
'object3','object15',,,,,
'object3','object16',,1,,0,
'object3','object17',,,,,
'object3','object18',,1,,0,
'object3','object19',,,,,
'object3','object20',,,0,,
'object3','object21',,,,,
'object3','object22',0,,,,
'object3','object23',,,,,
'object3','object24',,,,,
'object3','object25',,,,,
'object3','object26',0,1,,,
'object3','object27',,,0,0,0
'object3','object28',,,,,
'object3','object29',,1,,,
'object3','object30',0,,,,0
'object3','object31',,,,,
'object3','object32',0,,,,
'object3','object33',,1,,0,
'object3','object34',,,,,
'object3','object35',,,,,0
'object3','object36',,,,,
'object3','object37',0,,,,
'object3','object38',,1,,,
'object3','object39',,,0,,
'object3','object40',,,,,
'object3','object41',,,0,,0
'object3','object42',,,,,
'object3','object43',,1,0,,
'object3','object44',,,,,0
'object3','object45',0,,,,
'object3','object46',,1,,,
'object3','object47',,,,,
'object3','object48',,,0,0,
'object3','object49',,,,,0
'object3','object50',,,,,0
'object3','object51',,0,,,
'object3','object52',,,,,
'object3','object53',1,0,,0,
'object3','object54',1,,,,
'object3','object55',,,,,0
'object3','object56',,0,,0,
'object3','object57',,,,,0
'object3','object58',,,,0,0
'object3','object59',,,,0,
'object3','object60',0,,,,
'object3','object61',,,,,
'object3','object62',,,,,
'object4','object0',,,,0,
'object4','object1',,,,0,
'object4','object2',,,0,,
'object4','object3',,1,,,
'object4','object4',,,,,
'object4','object5',,1,,,
'object4','object6',,,,,
'object4','object7',,,,0,0
'object4','object8',0,,0,0,
'object4','object9',,,0,,
'object4','object10',,1,,,
'object4','object11',,,,0,
'object4','object12',,,,0,
'object4','object13',,,,,
'object4','object14',,,,,0
'object4','object15',,,0,,
'object4','object16',,,,,
'object4','object17',,,,0,0
'object4','object18',,,,,
'object4','object19',0,,,,0
'object4','object20',0,,0,,
'object4','object21',,,,,
'object4','object22',0,1,,,
'object4','object23',,,,,
'object4','object24',,1,,,0
'object4','object25',,,,,
'object4','object26',,,,,
'object4','object27',,,,,0
'object4','object28',,,,,
'object4','object29',,,,0,
'object4','object30',,1,,,
'object4','object31',,,0,,
'object4','object32',,1,,,0
'object4','object33',0,,,,
'object4','object34',,,0,,0
'object4','object35',,1,,0,
'object4','object36',,,,,
'object4','object37',,,,,
'object4','object38',,,,,
'object4','object39',0,,,,0
'object4','object40',,,0,,
'object4','object41',,,,,
'object4','object42',0,,,0,
'object4','object43',,1,,,
'object4','object44',0,1,,,0
'object4','object45',0,,,,0
'object4','object46',0,,,,
'object4','object47',,1,,,
'object4','object48',,,0,,
'object4','object49',,,0,,
'object4','object50',,,,0,
'object4','object51',,,,,0
'object4','object52',,,,,
'object4','object53',,,0,,0
'object4','object54',,,,,0
'object4','object55',,0,0,,0
'object4','object56',,,,,
'object4','object57',,,,0,
'object4','object58',,0,,,0
'object4','object59',,,,,
'object4','object60',,,0,,
'object4','object61',,,,,
'object4','object62',,0,,,
'object5','object0',,1,,,0
'object5','object1',,,,,
'object5','object2',,1,0,,
'object5','object3',,,,,0
'object5','object4',,,,,
'object5','object5',,,0,,0
'object5','object6',0,,0,,
'object5','object7',,,,,0
'object5','object8',,,0,,0
'object5','object9',,,,0,
'object5','object10',,,,,
'object5','object11',,1,,,
'object5','object12',,,0,,
'object5','object13',0,,0,,
'object5','object14',,1,0,,
'object5','object15',0,,,,
'object5','object16',,,,,
'object5','object17',,1,,0,0
'object5','object18',,,,,
'object5','object19',,,,0,
'object5','object20',,,0,,
'object5','object21',0,,0,,
'object5','object22',,,,0,
'object5','object23',0,,,0,
'object5','object24',,,,,0
'object5','object25',,,,,
'object5','object26',0,1,,,
'object5','object27',,,,,
'object5','object28',,,,,
'object5','object29',,,,,
'object5','object30',,1,0,,
'object5','object31',,1,,,
'object5','object32',,,,,0
'object5','object33',,,,,0
'object5','object34',,,,0,0
'object5','object35',,,,,
'object5','object36',,,0,0,
'object5','object37',,,,,
'object5','object38',0,,,,0
'object5','object39',,,0,,
'object5','object40',,,,,
'object5','object41',,,,,0
'object5','object42',,,,,
'object5','object43',,,0,,0
'object5','object44',,,0,,
'object5','object45',,,,,
'object5','object46',,,,,
'object5','object47',,,,0,
'object5','object48',,,0,,
'object5','object49',,,,,
'object5','object50',,,,,
'object5','object51',,0,,,
'object5','object52',,,,,
'object5','object53',,,,,
'object5','object54',,,,,
'object5','object55',0,,0,,
'object5','object56',,0,,,
'object5','object57',,,,,
'object5','object58',,,0,,
'object5','object59',,,,,0
'object5','object60',0,,,,
'object5','object61',,,,,
'object5','object62',0,0,,0,
'object6','object0',,,,0,
'object6','object1',0,,,0,
'object6','object2',,,,,
'object6','object3',0,,,,0
'object6','object4',,1,,,
'object6','object5',,,0,,0
'object6','object6',,,,,0
'object6','object7',,1,0,,
'object6','object8',,,,,0
'object6','object9',,,,,0
'object6','object10',,1,,,0
'object6','object11',,,0,,
'object6','object12',0,1,,,
'object6','object13',,,0,,0
'object6','object14',,,,,
'object6','object15',0,,,,
'object6','object16',,,,,
'object6','object17',,1,,,
'object6','object18',,1,0,,
'object6','object19',,,,,
'object6','object20',,,,,
'object6','object21',,,,,
'object6','object22',,,,0,0
'object6','object23',,,,,
'object6','object24',0,1,,,
'object6','object25',,,,0,
'object6','object26',,,,,0
'object6','object27',,,,0,
'object6','object28',,,,,
'object6','object29',,,,0,
'object6','object30',,,,,0
'object6','object31',,,,,
'object6','object32',,1,,0,
'object6','object33',0,,,,
'object6','object34',,,,0,
'object6','object35',0,,,,
'object6','object36',,1,,,
'object6','object37',,1,,,
'object6','object38',,,0,,0
'object6','object39',,,,,0
'object6','object40',0,1,,,
'object6','object41',0,,,,
'object6','object42',0,,0,,
'object6','object43',,1,,,
'object6','object44',,,,,
'object6','object45',,,,,
'object6','object46',,,,,
'object6','object47',,,,0,
'object6','object48',,,,,
'object6','object49',,,,,
'object6','object50',,0,,,
'object6','object51',1,,,,
'object6','object52',,,,,0
'object6','object53',,,,,
'object6','object54',,,0,,
'object6','object55',,,,,
'object6','object56',,,0,,
'object6','object57',,0,,,0
'object6','object58',0,0,0,,
'object6','object59',,,0,,
'object6','object60',0,,,0,
'object6','object61',,,,,
'object6','object62',,,0,,
'object7','object0',,,,0,
'object7','object1',,1,,,0
'object7','object2',,1,,,
'object7','object3',0,,,,0
'object7','object4',0,,,,
'object7','object5',,,0,,0
'object7','object6',,,,0,
'object7','object7',,,,,
'object7','object8',0,1,,,
'object7','object9',,1,,,
'object7','object10',,,,,
'object7','object11',,,,,
'object7','object12',,,,,
'object7','object13',,1,,,
'object7','object14',,,,0,
'object7','object15',0,,,,
'object7','object16',0,,,,
'object7','object17',,,,0,
'object7','object18',,,,,
'object7','object19',0,,0,,
'object7','object20',,,0,0,
'object7','object21',,,,,
'object7','object22',,,,,
'object7','object23',,,,,
'object7','object24',,,,,
'object7','object25',,,,,0
'object7','object26',0,,,,
'object7','object27',,,,,
'object7','object28',,1,,,
'object7','object29',,,0,,0
'object7','object30',0,,,,0
'object7','object31',,,,,
'object7','object32',,1,,,
'object7','object33',,,0,,
'object7','object34',,,,,
'object7','object35',,,0,,0
'object7','object36',,1,,,
'object7','object37',,,,,
'object7','object38',,1,0,0,
'object7','object39',,,,0,
'object7','object40',,,,0,
'object7','object41',,,,,
'object7','object42',,,,,
'object7','object43',,,,,0
'object7','object44',,,,,0
'object7','object45',,,,,0
'object7','object46',,,,,
'object7','object47',,,,0,
'object7','object48',,,0,,0
'object7','object49',,1,,,0
'object7','object50',,,,0,0
'object7','object51',,,,,0
'object7','object52',,,,0,
'object7','object53',,,,,
'object7','object54',,0,0,0,
'object7','object55',,0,,0,
'object7','object56',,,,,
'object7','object57',0,,,,
'object7','object58',,,,,
'object7','object59',,,,,
'object7','object60',,,,,
'object7','object61',,,0,0,0
'object7','object62',,,,0,
'object8','object0',,,,,
'object8','object1',,,,,
'object8','object2',,,0,,0
'object8','object3',,,0,,
'object8','object4',0,,,,
'object8','object5',,,,,
'object8','object6',,,,,0
'object8','object7',,1,,0,0
'object8','object8',,,0,0,
'object8','object9',,,0,,
'object8','object10',0,,,,
'object8','object11',,,,,
'object8','object12',,,,,
'object8','object13',0,,,,
'object8','object14',,,,,
'object8','object15',,,,,
'object8','object16',,1,,,
'object8','object17',,,,,
'object8','object18',0,,,,
'object8','object19',,,,,
'object8','object20',,,,,0
'object8','object21',,,,,
'object8','object22',,1,,0,
'object8','object23',,,,,
'object8','object24',,,,0,
'object8','object25',0,,,,
'object8','object26',,,,,
'object8','object27',0,,,,
'object8','object28',,1,,0,
'object8','object29',,1,,,
'object8','object30',,1,,,
'object8','object31',,1,,0,0
'object8','object32',,,,0,
'object8','object33',,,,,
'object8','object34',,1,,,
'object8','object35',,,,,
'object8','object36',,,,,
'object8','object37',,,,,
'object8','object38',,,0,,
'object8','object39',,,,,0
'object8','object40',,,,,
'object8','object41',,,,,0
'object8','object42',,,,,
'object8','object43',,,0,,0
'object8','object44',0,,,,
'object8','object45',,,,,
'object8','object46',0,,0,,
'object8','object47',,,,0,
'object8','object48',,,0,,0
'object8','object49',,,,,0
'object8','object50',,,,,
'object8','object51',,,,,0
'object8','object52',,,,,
'object8','object53',,0,,,0
'object8','object54',,,,,
'object8','object55',,,,,
'object8','object56',0,,,,
'object8','object57',,,,,
'object8','object58',,,,,
'object8','object59',,,,,
'object8','object60',,,0,,
'object8','object61',,,,,
'object8','object62',,,,,
'object9','object0',,,,,
'object9','object1',,,,,
'object9','object2',,,,,
'object9','object3',,,0,,0
'object9','object4',,,,0,0
'object9','object5',0,,,,0
'object9','object6',,,,,
'object9','object7',0,1,,,
'object9','object8',,1,0,,
'object9','object9',,,,,
'object9','object10',,,,,
'object9','object11',,,,,0
'object9','object12',,1,,,0
'object9','object13',,,,,
'object9','object14',,,,,
'object9','object15',,,,0,0
'object9','object16',,,,,
'object9','object17',,,,,
'object9','object18',,1,0,,
'object9','object19',,,,,
'object9','object20',,,,,0
'object9','object21',0,,,,
'object9','object22',,1,0,,
'object9','object23',0,1,,,
'object9','object24',,,,,
'object9','object25',,,,,
'object9','object26',,,0,,
'object9','object27',,,,,
'object9','object28',,1,0,,
'object9','object29',,,,,
'object9','object30',,,,,
'object9','object31',,,,0,
'object9','object32',,1,,,
'object9','object33',,,0,0,
'object9','object34',0,1,0,0,
'object9','object35',,,,,
'object9','object36',,,0,0,
'object9','object37',,,,0,0
'object9','object38',,,,,
'object9','object39',,,0,,
'object9','object40',,,0,,0
'object9','object41',,,,,
'object9','object42',0,,,,0
'object9','object43',,1,0,,0
'object9','object44',,,,,
'object9','object45',,,0,,
'object9','object46',0,,,0,
'object9','object47',,1,,0,
'object9','object48',,,0,,
'object9','object49',,,,,
'object9','object50',,,,,
'object9','object51',,,,,
'object9','object52',,,,,
'object9','object53',,,,0,
'object9','object54',,,,,
'object9','object55',,,,,0
'object9','object56',,,0,0,0
'object9','object57',,,,,
'object9','object58',,,0,,
'object9','object59',,,0,,
'object9','object60',,,,,
'object9','object61',0,,0,,
'object9','object62',,,0,,
'object10','object0',0,,,0,
'object10','object1',,1,,,
'object10','object2',,,,,
'object10','object3',,,,,
'object10','object4',,,,,
'object10','object5',,,,0,
'object10','object6',0,,,,
'object10','object7',,,,,0
'object10','object8',,,0,,
'object10','object9',,,,,
'object10','object10',,1,,,
'object10','object11',,1,0,,0
'object10','object12',,,,,0
'object10','object13',,,,,
'object10','object14',,,,,
'object10','object15',,,,,
'object10','object16',0,,,,
'object10','object17',,1,0,0,
'object10','object18',0,1,,,
'object10','object19',,,,0,
'object10','object20',,,,,
'object10','object21',,,,,0
'object10','object22',0,,,,
'object10','object23',,,,,
'object10','object24',,,,,
'object10','object25',,1,0,,
'object10','object26',,,0,,0
'object10','object27',,,0,,
'object10','object28',,1,,0,
'object10','object29',0,,,,
'object10','object30',,,,0,
'object10','object31',,,,,
'object10','object32',0,,,,
'object10','object33',,,,,
'object10','object34',,1,,,
'object10','object35',0,,0,,
'object10','object36',,,,,
'object10','object37',,,,,
'object10','object38',0,,0,0,
'object10','object39',,,,0,0
'object10','object40',,,,,
'object10','object41',,,,0,
'object10','object42',,,,,
'object10','object43',,,0,,0
'object10','object44',,,0,,
'object10','object45',,,,,
'object10','object46',,,,,
'object10','object47',,,,,0
'object10','object48',,,,,
'object10','object49',,1,,,
'object10','object50',,,0,,
'object10','object51',,,,,
'object10','object52',,,,0,
'object10','object53',,,,,0
'object10','object54',,,,0,
'object10','object55',0,0,,,0
'object10','object56',,,,,
'object10','object57',,,0,,
'object10','object58',,,,,0
'object10','object59',,,,,
'object10','object60',0,,,,
'object10','object61',,,,,
'object10','object62',,,,,0
'object11','object0',,,0,,
'object11','object1',0,,,,
'object11','object2',,,,,
'object11','object3',,,,,
'object11','object4',,,,,
'object11','object5',,,0,,
'object11','object6',,,,,0
'object11','object7',,1,0,,
'object11','object8',,,,,
'object11','object9',,,,,
'object11','object10',0,,,,
'object11','object11',,,,,0
'object11','object12',0,,,,
'object11','object13',0,,,0,
'object11','object14',,1,,,0
'object11','object15',,,,,0
'object11','object16',,1,,0,
'object11','object17',,,,,
'object11','object18',,1,0,,0
'object11','object19',0,1,0,0,
'object11','object20',0,,,,
'object11','object21',,,0,,
'object11','object22',,,,,
'object11','object23',,1,,,
'object11','object24',,,,0,
'object11','object25',,,0,,0
'object11','object26',,1,,0,0
'object11','object27',,,,,
'object11','object28',,,,,0
'object11','object29',,,0,,
'object11','object30',0,,0,,
'object11','object31',0,,,,
'object11','object32',,1,,,
'object11','object33',,,,0,
'object11','object34',,,,,0
'object11','object35',0,,,,
'object11','object36',,,,0,
'object11','object37',0,,,,
'object11','object38',,,0,,
'object11','object39',,,,,
'object11','object40',0,,,,
'object11','object41',,,,,0
'object11','object42',,,,,0
'object11','object43',,,,,
'object11','object44',,,,,0
'object11','object45',,,,,
'object11','object46',,,,0,
'object11','object47',,,0,0,
'object11','object48',,,0,,0
'object11','object49',,,,,
'object11','object50',,,,,
'object11','object51',,,,,0
'object11','object52',,,,0,
'object11','object53',,0,,,
'object11','object54',,,,,
'object11','object55',,,,,
'object11','object56',,,,,0
'object11','object57',0,,,,
'object11','object58',,,,0,0
'object11','object59',,,,,
'object11','object60',0,,,,1
'object11','object61',,0,,,
'object11','object62',0,,,,
'object12','object0',,,,,
'object12','object1',,,,,
'object12','object2',,,,0,
'object12','object3',,,,,
'object12','object4',,,,,0
'object12','object5',0,,,0,
'object12','object6',,,,,
'object12','object7',,,,,
'object12','object8',,,,,
'object12','object9',0,,,,
'object12','object10',,,,,
'object12','object11',,,,,
'object12','object12',,,,0,
'object12','object13',0,,,,
'object12','object14',,,,,0
'object12','object15',0,,0,,0
'object12','object16',,,,0,
'object12','object17',,,,0,
'object12','object18',0,,,,0
'object12','object19',0,,,0,
'object12','object20',,,,0,
'object12','object21',,,,,
'object12','object22',,,0,0,
'object12','object23',0,,,,
'object12','object24',,1,0,,0
'object12','object25',,1,0,0,
'object12','object26',,,,,
'object12','object27',,,0,0,
'object12','object28',,,,0,
'object12','object29',,,,,
'object12','object30',,1,,,
'object12','object31',0,,0,0,0
'object12','object32',,,,,
'object12','object33',,,,,
'object12','object34',,,,0,0
'object12','object35',,,,,
'object12','object36',,,,,
'object12','object37',,,,,
'object12','object38',,,,,
'object12','object39',,,,,
'object12','object40',,,,,0
'object12','object41',,,,0,
'object12','object42',0,,,,
'object12','object43',0,,,,
'object12','object44',,,,,0
'object12','object45',,,,0,
'object12','object46',,,,0,
'object12','object47',,,0,0,
'object12','object48',,,,,
'object12','object49',,1,0,0,
'object12','object50',,,,,
'object12','object51',,,1,,0
'object12','object52',,,,,
'object12','object53',,0,,,
'object12','object54',,0,,,
'object12','object55',0,,,0,
'object12','object56',,,,0,
'object12','object57',,,,,
'object12','object58',0,,,,
'object12','object59',0,,,,
'object12','object60',,1,,0,
'object12','object61',,0,,,
'object12','object62',,,0,0,0
'object13','object0',,,,0,
'object13','object1',,1,,,
'object13','object2',,,,0,
'object13','object3',,,,,
'object13','object4',,1,,,
'object13','object5',0,,,,
'object13','object6',,,,0,
'object13','object7',,,,,0
'object13','object8',,1,,,
'object13','object9',,,,,
'object13','object10',,,,0,
'object13','object11',,,,,0
'object13','object12',0,,,,
'object13','object13',,,,,
'object13','object14',,1,,,
'object13','object15',,,,,
'object13','object16',,,,,
'object13','object17',0,,,,
'object13','object18',,,,,
'object13','object19',,,,0,0
'object13','object20',,,,,
'object13','object21',,,,,
'object13','object22',,1,,,
'object13','object23',,,0,,
'object13','object24',0,,,0,
'object13','object25',,,,0,
'object13','object26',,1,,,
'object13','object27',,,,,
'object13','object28',,,,,
'object13','object29',,,,,0
'object13','object30',,1,,,
'object13','object31',,,,,0
'object13','object32',,1,,,
'object13','object33',,,0,0,
'object13','object34',,,,,
'object13','object35',,,0,,
'object13','object36',0,,,,
'object13','object37',,,,0,
'object13','object38',0,,,,
'object13','object39',,,,,0
'object13','object40',,,,,
'object13','object41',,,,0,0
'object13','object42',,,,0,
'object13','object43',,,0,,
'object13','object44',,,,0,0
'object13','object45',,,,,
'object13','object46',,1,,0,
'object13','object47',,1,,,
'object13','object48',,1,,,0
'object13','object49',,,,,0
'object13','object50',1,,,0,
'object13','object51',,,1,,
'object13','object52',,,,,0
'object13','object53',,,,,
'object13','object54',,0,,,
'object13','object55',,0,,,
'object13','object56',,,,,
'object13','object57',,,0,,
'object13','object58',,,,,0
'object13','object59',,,0,,0
'object13','object60',,,,,
'object13','object61',,,,,
'object13','object62',,0,0,0,0
'object14','object0',,,,0,0
'object14','object1',0,,,0,0
'object14','object2',0,,,,0
'object14','object3',,,0,0,
'object14','object4',,,,0,
'object14','object5',,,,,0
'object14','object6',,,,,
'object14','object7',,1,,,0
'object14','object8',,,,,0
'object14','object9',,,,0,
'object14','object10',,,,0,
'object14','object11',,,,,
'object14','object12',,,,,
'object14','object13',,,,0,
'object14','object14',,,,,
'object14','object15',,,,,
'object14','object16',,1,,,
'object14','object17',,,,,
'object14','object18',0,,,,
'object14','object19',,,0,0,
'object14','object20',,1,0,,
'object14','object21',,,,,
'object14','object22',0,,,,
'object14','object23',,,0,,0
'object14','object24',,1,,,
'object14','object25',0,,,0,
'object14','object26',,1,,0,
'object14','object27',,,,0,
'object14','object28',,1,,,
'object14','object29',0,,0,,
'object14','object30',,,,,
'object14','object31',,,,,
'object14','object32',,,,,
'object14','object33',,,0,,0
'object14','object34',,1,,,
'object14','object35',,,,0,
'object14','object36',,,,,0
'object14','object37',,,,,
'object14','object38',0,,,,
'object14','object39',,1,,,
'object14','object40',0,,0,,0
'object14','object41',,1,0,,0
'object14','object42',0,1,,,
'object14','object43',,,,,0
'object14','object44',,,,,
'object14','object45',,,,,0
'object14','object46',,,,,
'object14','object47',0,,,,0
'object14','object48',,,0,,
'object14','object49',,,0,,
'object14','object50',1,,0,,0
'object14','object51',,,,0,
'object14','object52',,,,,
'object14','object53',1,,,,
'object14','object54',,,,,
'object14','object55',0,,,,0
'object14','object56',0,,,0,
'object14','object57',,,0,,
'object14','object58',,,,,
'object14','object59',,,,,
'object14','object60',,,0,0,
'object14','object61',,,,,
'object14','object62',,,,,0
'object15','object0',,,,,
'object15','object1',,,,,
'object15','object2',0,,,0,
'object15','object3',,,,0,
'object15','object4',,,,0,
'object15','object5',0,,0,,
'object15','object6',,,0,,
'object15','object7',,,,,0
'object15','object8',,,,0,
'object15','object9',0,1,,,
'object15','object10',0,,0,,
'object15','object11',,,0,,
'object15','object12',,,,,
'object15','object13',,,,,
'object15','object14',,,,,0
'object15','object15',,,,0,
'object15','object16',,1,,,0
'object15','object17',,1,,,
'object15','object18',,1,0,,0
'object15','object19',,,,,
'object15','object20',,1,,,
'object15','object21',,1,0,,
'object15','object22',,,,,
'object15','object23',,,0,,
'object15','object24',,,,,
'object15','object25',0,1,,,
'object15','object26',,1,,,
'object15','object27',,,0,0,
'object15','object28',,1,,0,
'object15','object29',,,,,
'object15','object30',,1,,,
'object15','object31',,,,,
'object15','object32',,,,,
'object15','object33',0,,,0,
'object15','object34',,,,,
'object15','object35',,,,,
'object15','object36',,1,,0,
'object15','object37',,,,,0
'object15','object38',0,,,,
'object15','object39',,,,,0
'object15','object40',,1,,,
'object15','object41',,,,,0
'object15','object42',,1,,,0
'object15','object43',,1,,,
'object15','object44',0,,,0,
'object15','object45',0,,0,0,
'object15','object46',,,,0,
'object15','object47',,,,,
'object15','object48',,,,,
'object15','object49',0,,,,
'object15','object50',,0,0,,
'object15','object51',,0,1,,
'object15','object52',,,,,
'object15','object53',,,,,
'object15','object54',1,,,,
'object15','object55',,,,,
'object15','object56',,0,,0,0
'object15','object57',,,,,
'object15','object58',,,0,,
'object15','object59',,,,,
'object15','object60',,,,0,1
'object15','object61',,,,0,
'object15','object62',,0,,,
'object16','object0',,,0,,
'object16','object1',,,,,
'object16','object2',,,,,
'object16','object3',,,,0,
'object16','object4',,,,,0
'object16','object5',,,,,
'object16','object6',,1,,0,
'object16','object7',,1,,0,
'object16','object8',,1,0,,0
'object16','object9',,1,,0,
'object16','object10',,,,,
'object16','object11',,1,,,
'object16','object12',0,,,,
'object16','object13',,1,0,,
'object16','object14',,,,,
'object16','object15',,,,,
'object16','object16',,,,,
'object16','object17',,,,,0
'object16','object18',,,0,,
'object16','object19',,,,0,
'object16','object20',,,,,
'object16','object21',0,,,,
'object16','object22',0,1,,,
'object16','object23',,,,,0
'object16','object24',,,0,,
'object16','object25',,1,,,0
'object16','object26',,1,0,,
'object16','object27',,,,,
'object16','object28',,,,,
'object16','object29',0,1,0,,
'object16','object30',0,1,,,
'object16','object31',,,0,,
'object16','object32',,1,,,
'object16','object33',,1,,,
'object16','object34',,1,,,
'object16','object35',0,,,0,
'object16','object36',,,0,,
'object16','object37',0,,,,
'object16','object38',0,1,,,
'object16','object39',,,,,
'object16','object40',,,,0,
'object16','object41',,,,,
'object16','object42',,1,0,,
'object16','object43',0,,,,
'object16','object44',,,,,
'object16','object45',,,,,
'object16','object46',0,1,,,
'object16','object47',0,,,0,
'object16','object48',,1,,,
'object16','object49',,,,0,
'object16','object50',,,,0,
'object16','object51',,,1,,0
'object16','object52',,,,,0
'object16','object53',,,0,0,
'object16','object54',,,,,
'object16','object55',,,,0,
'object16','object56',,,,,
'object16','object57',,,,,
'object16','object58',,0,,,
'object16','object59',,,,,
'object16','object60',,,,,
'object16','object61',,,,,
'object16','object62',,0,,,
'object17','object0',,,,0,
'object17','object1',,,,,
